Optimization started at Thu Nov 28 12:41:17 2024
Iteration 605 | Energy: -237.75388619036156
Iteration 606 | Energy: -237.7538861903606
Iteration 607 | Energy: -237.75388619034277
Iteration 608 | Energy: -237.75388619038654
Iteration 609 | Energy: -237.75388619039313
Iteration 610 | Energy: -237.7538861903473
Iteration 611 | Energy: -237.7538861903372
Iteration 612 | Energy: -237.75388619034263
Iteration 613 | Energy: -237.75388619026177
Iteration 614 | Energy: -237.7538861902868
Iteration 615 | Energy: -237.75388619029343
Iteration 616 | Energy: -237.7538861903264
Iteration 617 | Energy: -237.75388619047106
Iteration 618 | Energy: -237.75388619033643
Iteration 619 | Energy: -237.75388619035067
Iteration 620 | Energy: -237.75388619034837
Iteration 621 | Energy: -237.75388619036042
Iteration 622 | Energy: -237.75388619034968
Iteration 623 | Energy: -237.75388619033646
Iteration 624 | Energy: -237.7538861903638
Iteration 625 | Energy: -237.75388619033768
Iteration 626 | Energy: -237.75388619020697
Iteration 627 | Energy: -237.75388619028834
Iteration 628 | Energy: -237.75388619031983
Iteration 629 | Energy: -237.75388619024585
Iteration 630 | Energy: -237.75388619034385
Iteration 631 | Energy: -237.75388619034993
Iteration 632 | Energy: -237.75388619034976
Iteration 633 | Energy: -237.75388619034433
Iteration 634 | Energy: -237.7538861903548
Iteration 635 | Energy: -237.75388619034374
Iteration 636 | Energy: -237.7538861903564
Iteration 637 | Energy: -237.75653722006413
Iteration 638 | Energy: -237.7565372200752
Iteration 639 | Energy: -237.75653722001226
Iteration 640 | Energy: -237.75653722012603
Iteration 641 | Energy: -237.75653722005856
Iteration 642 | Energy: -237.75653722000206
Iteration 643 | Energy: -237.75653722011057
Iteration 644 | Energy: -237.75653722012802
Iteration 645 | Energy: -237.75653722007357
Iteration 646 | Energy: -237.75653722008386
Iteration 647 | Energy: -237.75653722008062
Iteration 648 | Energy: -237.75653722013251
Iteration 649 | Energy: -237.7565372201526
Iteration 650 | Energy: -237.75653721999484
Iteration 651 | Energy: -237.75653722003966
Iteration 652 | Energy: -237.75653722007544
Iteration 653 | Energy: -237.7565372200712
Iteration 654 | Energy: -237.7565372200689
Iteration 655 | Energy: -237.75653722008707
Iteration 656 | Energy: -237.75653722006308
